rank,system_rank,cns_name,component,n_objects,lhs,ra_2000,dec_2000,proper_motion_arcsec_yr,proper_motion_angle_deg,parallax_arcsec,parallax_error,spectral_type,V_mag,Mv_mag,mass_msun,notes,common_name,distance_ly
25,25,GJ 191,,1,29,05 11 40.6,-45 01 06,8.670,131.4,0.25567,0.00091,M2.0 VI,8.85,10.89,0.39,,Kapteyn's Star,12.76
26,26,GJ 825,,1,66,21 17 15.3,-38 52 03,3.455,250.6,0.25344,0.00080,K9.0 V,6.67,8.69,0.60,,AX Microscopii,12.87
27,27,DEN 1048-3956,,1,,10 48 14.7,-39 56 06,1.530,229.2,0.24853,0.00118,M8.5 V,17.39,19.37,0.07,,,13.12
28,28,GJ 860,A,2,3814,22 27 59.5,+57 41 45,0.990,241.6,0.24806,0.00139,M3.0 V,9.79,11.76,0.28,,Kruger 60 A,13.15
28,28,GJ 860,B,,3815,22 27 59.5,+57 41 45,0.990,241.6,0.24806,0.00139,M4.0 V,11.41,13.38,0.16,orbit 2",Kruger 60 B,13.15
29,29,GJ 234,A,2,1849,06 29 23.4,-02 48 50,0.930,131.7,0.24444,0.00092,M4.5 VJ,11.18,13.12,0.17,,Ross 614 A,13.34
29,29,GJ 234,B,,1850,06 29 23.4,-02 48 50,0.930,131.7,0.24444,0.00092,M V,14.26,16.20,0.10,orbit < 2",Ross 614 B,13.34
30,30,GJ 628,,1,419,16 30 18.1,-12 39 45,1.189,184.5,0.23438,0.00150,M3.5 V,10.10,11.95,0.26,,Wolf 1061,13.91
31,31,GJ 35,,1,7,00 49 09.9,+05 23 19,2.978,155.5,0.23270,0.00181,DZ7,12.40,14.23,0.50,*,van Maanen's Star,14.01
32,32,GJ 1,,1,1,00 05 24.4,-37 21 27,6.100,112.5,0.23032,0.00090,M1.5 V,8.54,10.35,0.48,,,14.15
33,33,GJ 473,A,2,333,12 33 17.2,+09 01 15,1.811,277.4,0.22790,0.00460,M5.0 VJ,13.25,15.03,0.12,,Wolf 424 A,14.30
33,33,GJ 473,B,,,12 33 17.2,+09 01 15,1.811,277.4,0.22790,0.00460,M V,13.24,15.02,0.12,orbit < 2",Wolf 424 B,14.30
34,34,GJ 83.1,,1,11,02 00 13.2,+13 03 08,2.097,147.8,0.22480,0.00290,M4.0 V,12.31,14.07,0.14,,TZ Arietis,14.50
35,35,GJ 687,,1,450,17 36 25.9,+68 20 21,1.309,194.2,0.22047,0.00083,M3.0 V,9.17,10.89,0.39,,,14.79
